DATA PEDIDO,DATA ENTREGA,PRODUTO,MEIO,FALHAS,STATUS,MOTIVO,Prazo
1/9/2004,5/1/2005,CONTAS A PAGAR,CNAB,11,Desistiu,NÃO CUMPRIU PRAZO,126
1/9/2004,27/10/2004,CONTAS A PAGAR,INTERNET,8,Desistiu,NÃO CUMPRIU PRAZO,56
9/9/2004,28/9/2004,COBRANÇA COM REGISTRO,CNAB,5,Operando,,19
10/9/2004,2/1/2005,COBRANÇA COM REGISTRO,CNAB,16,Desistiu,NÃO CUMPRIU PRAZO,114
13/9/2004,5/10/2004,CONTAS A PAGAR,INTERNET,5,Operando,,22
22/9/2004,19/1/2005,COBRANÇA COM REGISTRO,CNAB,11,Desistiu,MAU ATENDIMENTO,119
22/9/2004,19/1/2005,CONTAS A PAGAR,CNAB,13,Desistiu,NÃO CUMPRIU PRAZO,119
22/9/2004,12/10/2004,CONTAS A PAGAR,CNAB,2,Desistiu,OFERTA CONCORRENCIA,20
22/9/2004,15/11/2004,CONTAS A PAGAR,INTERNET,7,Desistiu,NÃO CUMPRIU PRAZO,54
22/9/2004,19/10/2004,COBRANÇA SEM REGISTRO,INTERNET,5,Desistiu,MUDANÇAS INTERNAS,27
22/9/2004,29/10/2004,CONTAS A PAGAR,INTERNET,6,Operando,,37
22/9/2004,27/10/2004,COBRANÇA COM REGISTRO,INTERNET,3,Operando,,35
22/9/2004,27/10/2004,CONTAS A PAGAR,INTERNET,4,Operando,,35
24/9/2004,2/12/2004,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,69
24/9/2004,15/11/2004,CONTAS A PAGAR,CNAB,6,Desistiu,NÃO CUMPRIU PRAZO,52
24/9/2004,18/10/2004,CONTAS A PAGAR,INTERNET,5,Operando,,24
27/9/2004,3/12/2004,CONTAS A PAGAR,CNAB,9,Desistiu,NÃO CUMPRIU PRAZO,67
27/9/2004,8/11/2004,COBRANÇA COM REGISTRO,CNAB,7,Desistiu,MUITA BUROCRACIA,42
27/9/2004,8/11/2004,CONTAS A PAGAR,CNAB,5,Desistiu,MUDANÇAS INTERNAS,42
27/9/2004,19/11/2004,CONTAS A PAGAR,INTERNET,8,Desistiu,MUITA BUROCRACIA,53
27/9/2004,27/10/2004,CONTAS A PAGAR,INTERNET,6,Desistiu,MAU ATENDIMENTO,30
27/9/2004,16/10/2004,CONTAS A PAGAR,INTERNET,4,Operando,,19
27/9/2004,14/10/2004,COBRANÇA COM REGISTRO,INTERNET,4,Operando,,17
28/9/2004,24/11/2004,COBRANÇA COM REGISTRO,CNAB,9,Operando,,57
29/9/2004,9/11/2004,COBRANÇA SEM REGISTRO,CNAB,6,Desistiu,NÃO CUMPRIU PRAZO,41
29/9/2004,18/10/2004,CONTAS A PAGAR,CNAB,5,Operando,,19
4/10/2004,2/11/2004,CONTAS A PAGAR,INTERNET,4,Desistiu,OFERTA CONCORRENCIA,29
4/10/2004,19/10/2004,CONTAS A PAGAR,INTERNET,4,Operando,,15
5/10/2004,7/11/2004,CONTAS A PAGAR,CNAB,4,Desistiu,NÃO CUMPRIU PRAZO,33
5/10/2004,14/11/2004,COBRANÇA COM REGISTRO,INTERNET,6,Desistiu,MUITA BUROCRACIA,40
6/10/2004,30/1/2005,CONTAS A PAGAR,CNAB,12,Desistiu,NÃO CUMPRIU PRAZO,116
6/10/2004,24/1/2005,COBRANÇA COM REGISTRO,CNAB,12,Desistiu,NÃO CUMPRIU PRAZO,110
